Data i czas,Poziom,Ważność,Kategoria,Wiadomość,Szczegóły
2025-05-14 08:21:47,INFO,low,General Warning,"#-> Key keyCode:113, (block.item)=(.), (Shift,Ctrl,Alt)=(False,False,False), changes: 0","{""process_id"": ""218"", ""formssessionname"": ""20250514-051747-1-192.168.102.2"", ""formsformname"": ""B_SZCZ"", ""formsdbsessionid"": ""129797150"", ""formsusername"": ""dbiedron@eskulap"", ""thread"": ""218"", ""type"": ""Info""}"
2025-05-14 08:21:47,INFO,low,General Warning,FormId: 3 Message: FRM-40401:Brak zmian do zapamiętania.,"{""process_id"": ""557"", ""formssessionname"": ""20250514-045337-1-192.168.100.20"", ""formsformname"": ""PRWIZYTY"", ""formsdbsessionid"": ""129787579"", ""formsusername"": ""spietrzykowska@eskulap"", ""thread"": ""557"", ""type"": ""Info""}"
2025-05-14 08:21:47,INFO,low,General Warning,"/->Key keyCode:115, (block.item)=(.), (Shift,Ctrl,Alt)=(False,False,False), changes: 0 - OperationResult.Status: Success","{""process_id"": ""557"", ""formssessionname"": ""20250514-045337-1-192.168.100.20"", ""formsformname"": ""PRWIZYTY"", ""formsdbsessionid"": ""129787579"", ""formsusername"": ""spietrzykowska@eskulap"", ""thread"": ""557"", ""type"": ""Info""}"
2025-05-14 08:21:47,INFO,high,System Error,Firing the On-Error trigger for an error: Brak zmian do zapisania.,"{""process_id"": ""280"", ""formssessionname"": ""20250514-045337-1-192.168.100.20"", ""formsformname"": ""PRWIZYTY"", ""formsdbsessionid"": ""129787579"", ""formsusername"": ""spietrzykowska@eskulap"", ""thread"": ""280"", ""type"": ""Info""}"
2025-05-14 08:21:47,WARN,medium,General Warning,Display a Message on form: FRM-40401: Brak zmian do zapisania.,"{""process_id"": ""280"", ""formssessionname"": ""20250514-045337-1-192.168.100.20"", ""formsformname"": ""PRWIZYTY"", ""formsdbsessionid"": ""129787579"", ""formsusername"": ""spietrzykowska@eskulap"", ""thread"": ""280"", ""type"": ""Warn""}"
2025-05-14 08:21:47,INFO,low,General Warning,#-> nt_key |  | F4,"{""process_id"": ""557"", ""formssessionname"": ""20250514-045337-1-192.168.100.20"", ""formsformname"": ""PRWIZYTY"", ""formsdbsessionid"": ""129787579"", ""formsusername"": ""spietrzykowska@eskulap"", ""thread"": ""557"", ""type"": ""Info""}"
2025-05-14 08:21:47,INFO,low,General Warning,"#-> Key keyCode:115, (block.item)=(.), (Shift,Ctrl,Alt)=(False,False,False), changes: 0","{""process_id"": ""557"", ""formssessionname"": ""20250514-045337-1-192.168.100.20"", ""formsformname"": ""PRWIZYTY"", ""formsdbsessionid"": ""129787579"", ""formsusername"": ""spietrzykowska@eskulap"", ""thread"": ""557"", ""type"": ""Info""}"
2025-05-14 08:21:47,INFO,low,General Warning,"/->Goto (CtrlFak.DspDataDo[0]), (Shift,Ctrl,Alt)=(False,False,False), changes: 1 - OperationResult.Status: Success","{""process_id"": ""2065"", ""formssessionname"": ""20250514-050445-1-192.168.101.137"", ""formsformname"": ""EV_LEKI"", ""formsdbsessionid"": ""129783248"", ""formsusername"": ""jlezanska@eskulap"", ""thread"": ""2065"", ""type"": ""Info""}"
2025-05-14 08:21:47,INFO,low,General Warning,#-> Ping - seconds since last user activity: 339,"{""process_id"": ""1798"", ""formssessionname"": ""20250514-061604-1-192.168.101.114"", ""formsformname"": ""SLISTPAC"", ""formsdbsessionid"": ""129791214"", ""formsusername"": ""wszatkowski@eskulap"", ""thread"": ""1798"", ""type"": ""Info""}"
2025-05-14 08:21:47,INFO,low,General Warning,Updating value by user input: CtrlFak.DspDataOd[0] = [enc]CUj7vK8IHgD4kczq4/vkemzZF+PVqFrla0EV6PgHOrUO+Nlh+KCbfHiTccHEsFAjMSC1654Olr1g91TAu2HrzU4w0iqerj7eeVi3WLNPRNWDItYuRIrP+ne1iHKlCiMsB1VYac3gKDrsHjG6NrXUis4sfjY44xnCKCfxHj/azd6DqAFyOykNq7KJH8cEc7yN3bbhLHG1IRtbkin04xb21SQ4xSDCaJBsi5r+nF97PZb9rCOPqZtvYyvuboG59Wp8YekpX9PXO+BpQvxevrHzWMN7T0+gt3MGu4N9A9yc+kKFUp+eV3WVyN/SYPdNUULWLLBQWXNNP4YmcM1RHVEplg==[/enc],"{""process_id"": ""1910"", ""formssessionname"": ""20250514-050445-1-192.168.101.137"", ""formsformname"": ""EV_LEKI"", ""formsdbsessionid"": ""129783248"", ""formsusername"": ""jlezanska@eskulap"", ""thread"": ""1910"", ""type"": ""Info""}"
